Date and Time:                Thu Apr 18 12:06:27.913 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              660
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000
667.40283	308
667.65802	305
667.91321	278
668.1684	306
668.42358	323
668.67871	322
668.9339	292
669.18903	308
669.44415	306
669.69934	303
669.95447	308
670.20959	305
670.46466	283
670.71979	295
670.97491	298
671.22998	292
671.48511	285
671.74017	290
671.9953	298
672.25037	302
672.50543	293
672.7605	303
673.0155	309
673.27057	276
673.52563	291
673.78064	304
674.03571	301
674.29071	282
674.54572	307
674.80072	295
675.05573	282
675.31073	297
675.56573	299
675.82074	302
676.07568	301
676.33069	283
676.58563	292
676.84058	268
677.09552	284
677.35046	286
677.60541	289
677.86035	291
678.1153	276
678.37024	308
678.62512	294
678.88	302
679.13495	287
679.38983	308
679.64471	300
679.8996	301
680.15448	298
680.40936	302
680.66418	288
680.91907	298
681.17389	290
681.42871	304
681.68359	304
681.93842	291
682.19324	287
682.44806	294
682.70282	283
682.95764	295
683.21246	283
683.46722	285
683.72205	287
683.97681	283
684.23157	319
684.48633	297
684.74109	288
684.99585	286
685.25055	290
685.50531	289
685.76001	299
686.01477	297
686.26947	299
686.52417	272
686.77887	297
687.03357	298
687.28827	289
687.54297	281
687.79761	323
688.05231	314
688.30695	289
688.56158	302
688.81628	276
689.07092	296
689.32556	277
689.58014	297
689.83478	306
690.08942	294
690.34399	299
690.59863	304
690.85321	317
691.10779	325
691.36237	310
691.61694	283
691.87152	292
692.1261	295
692.38062	312
692.63519	305
692.88971	286
693.14423	295
693.39874	278
693.65326	300
693.90778	287
694.16229	303
694.41681	284
694.67133	303
694.92578	307
695.18024	323
695.43475	296
695.68921	290
695.94366	320
696.19812	292
696.45258	308
696.70697	312
696.96143	311
697.21582	292
697.47028	295
697.72467	314
697.97906	290
698.23346	300
698.48785	284
698.74225	303
698.99658	305
699.25098	293
699.50531	317
699.7597	297
700.01404	286
700.26837	305
700.52271	291
700.77704	287
701.03137	301
701.28564	299
701.53998	306
701.79425	307
702.04858	284
702.30286	308
702.55713	297
702.8114	298
703.06567	292
703.31989	297
703.57416	281
703.82843	287
704.08264	295
704.33685	289
704.59106	285
704.84528	313
705.09949	303
705.3537	314
705.60791	269
705.86206	294
706.11627	281
706.37042	306
706.62457	293
706.87878	298
707.13293	320
707.38702	314
707.64117	310
707.89532	319
708.14941	301
708.40356	291
708.65765	277
708.91174	284
709.16583	306
709.41992	290
709.67401	298
709.9281	294
710.18213	298
710.43622	306
710.69025	301
710.94427	306
711.19836	330
711.45239	306
711.70636	308
711.96039	293
712.21442	289
712.46838	280
712.72241	289
712.97638	312
713.23035	297
713.48431	311
713.73828	300
713.99225	312
714.24622	307
714.50012	296
714.75409	287
715.008	285
715.2619	288
715.51581	294
715.76971	286
716.02362	291
716.27753	300
716.53143	267
716.78528	321
717.03912	284
717.29303	310
717.54688	280
717.80072	302
718.05457	315
718.30841	291
718.56219	286
718.81604	298
719.06982	290
719.32361	306
719.57745	294
719.83124	294
720.08502	310
720.33875	299
720.59253	293
720.84631	284
721.10004	317
721.35376	290
721.60754	279
721.86127	309
722.11499	303
722.36871	303
722.62238	302
722.8761	298
723.12976	285
723.38348	276
723.63715	309
723.89081	288
724.14447	282
724.39813	304
724.65179	289
724.9054	302
725.15906	296
725.41266	314
725.66626	306
725.91992	304
726.17352	310
726.42706	301
726.68066	314
726.93427	285
727.18781	279
727.44141	308
727.69495	291
727.94849	310
728.20203	312
728.45557	305
728.70911	302
728.96259	299
729.21613	307
729.4696	313
729.72314	285
729.97662	297
730.2301	316
730.48358	307
730.73706	294
730.99048	274
731.24396	304
731.49738	318
731.75079	312
732.00427	282
732.25769	296
732.51105	290
732.76447	298
733.01788	305
733.27124	301
733.52466	299
733.77802	308
734.03137	291
734.28473	311
734.53809	277
734.79144	297
735.0448	305
735.2981	297
735.55145	294
735.80475	294
736.05804	308
736.31134	314
736.56464	294
736.81793	309
737.07117	302
737.32446	319
737.5777	320
737.83093	295
738.08423	284
738.33746	309
738.59064	289
738.84387	298
739.09711	294
739.35028	281
739.60352	308
739.85669	294
740.10986	296
740.36304	297
740.61621	282
740.86938	295
741.1225	283
741.37567	303
741.62878	302
741.8819	295
742.13501	299
742.38812	272
742.64124	307
742.89435	319
743.1474	302
743.40051	303
743.65356	275
743.90662	291
744.15967	290
744.41272	312
744.66577	299
744.91882	303
745.17181	313
745.42487	312
745.67786	286
745.93085	283
746.18384	278
746.43683	318
746.68982	302
746.94275	278
747.19574	291
747.44867	293
747.7016	283
747.95453	291
748.20746	286
748.46039	281
748.71332	290
748.96625	294
749.21912	294
749.47198	303
749.72491	289
749.97778	304
750.23059	295
750.48346	295
750.73633	298
750.98914	315
751.242	292
751.49481	293
751.74762	303
752.00043	294
752.25323	308
752.50604	289
752.75879	318
753.0116	300
753.26434	297
753.51715	304
753.7699	291
754.02264	293
754.27533	296
754.52808	302
754.78082	299
755.03351	290
755.28619	300
755.53888	308
755.79156	282
756.04425	308
756.29694	277
756.54962	296
756.80225	276
757.05493	271
757.30756	308
757.56018	307
757.81281	322
758.06543	309
758.31799	294
758.57062	288
758.82318	297
759.07581	290
759.32837	284
759.58093	298
759.8335	299
760.086	307
760.33856	289
760.59106	290
760.84363	307
761.09613	321
761.34863	301
761.60114	304
761.85364	292
762.10608	302
762.35858	300
762.61102	301
762.86346	296
763.11597	288
763.36841	318
763.62079	324
763.87323	315
764.12567	303
764.37805	302
764.63043	302
764.88287	285
765.13525	289
765.38763	301
765.63995	286
765.89233	290
766.14465	291
766.39703	298
766.64935	303
766.90167	286
767.15399	289
767.40631	284
767.65857	294
767.91089	283
768.16315	303
768.41547	298
768.66772	313
768.91998	291
769.17218	298
769.42444	293
769.6767	325
769.92889	287
770.18109	303
770.43335	302
770.68555	291
770.93768	284
771.18988	284
771.44208	282
771.69421	297
771.94641	292
772.19855	276
772.45068	286
772.70282	306
772.9549	299
773.20703	302
773.45911	296
773.71124	305
773.96332	299
774.21539	298
774.46747	285
774.71954	305
774.97156	297
775.22363	308
775.47565	297
775.72772	282
775.97974	295
776.23175	299
776.4837	301
776.73572	296
776.98773	300
777.23969	312
777.49164	296
777.74359	289
777.99554	301
778.2475	288
778.49945	298
778.75134	287
779.0033	289
779.25519	286
779.50708	295
779.75897	305
780.01086	301
780.2627	291
780.51459	304
780.76642	297
781.01831	306
781.27014	301
781.52197	310
781.7738	299
782.02557	293
782.2774	294
782.52917	298
782.78101	304
783.03278	305
783.28455	299
783.53625	300
783.78802	298
784.03979	290
784.2915	303
784.54321	301
784.79498	288
785.04669	305
785.29834	302
785.55005	314
785.80176	286
786.05341	290
786.30505	317
786.5567	294
786.80835	276
787.06	298
787.31165	299
787.56323	285
787.81488	292
788.06647	301
788.31805	307
788.56964	293
788.82123	284
789.07281	292
789.32434	303
789.57593	318
789.82745	313
790.07898	320
790.33051	300
790.58203	293
790.8335	302
791.08502	298
791.33649	297
791.58795	302
791.83948	300
792.09088	282
792.34235	309
792.59381	308
792.84521	305
793.09668	303
793.34808	292
793.59949	307
793.85089	304
794.10229	307
794.35364	299
794.60504	291
794.85638	301
795.10773	304
795.35907	277
795.61041	312
795.86176	308
796.1131	289
796.36438	288
796.61566	283
796.86694	280
797.11823	299
797.36951	280
797.62079	298
797.87207	297
798.12329	291
798.37451	287
798.62573	292
798.87695	321
799.12817	295
799.37939	295
799.63055	294
799.88177	295
800.13293	314
800.38409	294
800.63525	304
800.88641	293
801.13751	287
801.38867	321
801.63977	279
801.89087	298
802.14197	308
802.39307	294
802.64417	300
802.89526	285
803.1463	311
803.39734	308
803.64844	304
803.89948	281
804.15045	281
804.40149	276
804.65253	291
804.9035	311
805.15448	313
805.40546	292
805.65643	309
805.90741	292
806.15839	306
806.4093	309
806.66028	294
806.91119	284
807.16211	298
807.41302	302
807.66388	297
807.91479	285
808.16565	301
808.41656	310
808.66742	300
808.91827	313
809.16913	291
809.41992	298
809.67078	276
809.92157	286
810.17236	301
810.42316	296
810.67395	288
810.92474	304
811.17554	291
811.42627	290
811.67706	296
811.9278	312
812.17853	297
812.42926	320
812.67993	304
812.93066	278
813.18134	309
813.43201	303
813.68268	302
813.93335	304
814.18402	286
814.43469	286
814.6853	298
814.93597	300
815.18658	299
815.43719	286
815.68781	299
815.93835	296
816.18896	302
816.43951	297
816.69012	297
816.94067	282
817.19122	310
817.44171	312
817.69226	296
817.94275	331
818.1933	296
818.44379	277
818.69427	281
818.94476	303
819.19519	301
819.44568	310
819.69611	297
819.94659	291
820.19702	302
820.44745	306
820.69781	306
820.94824	317
821.19861	281
821.44904	303
821.6994	294
821.94977	305
822.20013	278
822.45044	292
822.70081	284
822.95111	306
823.20142	309
823.45172	301
823.70203	291
823.95233	283
824.20264	281
824.45288	317
824.70313	277
824.95337	317
825.20361	292
825.45386	291
825.7041	282
825.95428	313
826.20453	291
826.45471	315
826.7049	310
826.95508	314
827.2052	306
827.45538	298
827.70551	287
827.95563	287
828.20575	292
828.45587	309
828.70599	283
828.95612	283
829.20618	299
829.45624	307
829.7063	285
829.95636	303
830.20642	292
830.45648	292
830.70648	326
830.95654	273
831.20654	299
831.45654	266
831.70654	296
831.95648	299
832.20648	312
832.45642	290
832.70636	299
832.9563	289
833.20624	316
833.45618	302
833.70612	299
833.95599	311
834.20587	277
834.45575	296
834.70563	291
834.95551	294
835.20532	293
835.4552	271
835.70502	289
835.95483	301
836.20465	298
836.45447	302
836.70428	306
836.95404	311
837.2038	299
837.45361	307
837.70337	294
837.95306	282
838.20282	293
838.45258	290
838.70227	296
838.95197	293
839.20166	299
839.45135	318
839.70105	309
839.95068	293
840.20032	303
840.45001	299
840.69965	316
840.94928	317
841.19885	287
841.44849	321
841.69806	296
841.94763	304
842.19727	300
842.44678	299
842.69635	298
842.94592	298
843.19543	291
843.44495	300
843.69446	305
843.94397	309
844.19348	320
844.44299	302
844.69244	313
844.94189	298
845.19141	305
845.4408	285
845.69025	286
845.9397	309
846.18909	286
846.43854	316
846.68793	293
846.93732	327
847.18665	310
847.43604	294
847.68536	305
847.93475	292
848.18408	303
848.43341	303
848.68274	316
848.93201	295
849.18134	304
849.4306	298
849.67987	286
849.92914	293
850.17841	306
850.42767	284
850.67688	291
850.92609	313
851.17529	275
851.4245	287
851.67371	276
851.92291	319
852.17206	302
852.42126	297
852.67041	289
852.91956	302
853.1687	303
853.41779	322
853.66693	295
853.91602	324
854.1651	298
854.41418	317
854.66327	297
854.91229	303
855.16138	287
855.4104	302
855.65942	303
